Indicator_name,indicator,Country_name,country,time,value,note,level,Livestock_Primary_egg,Beef_and_bufallo(kilograms_per_year),Poultry(kilograms_per_year)
Global Hunger Index (GHI),IFPRI-GHI,Rwanda,RWA,2010,32.4,,c,10.9829,8.75,2.91
Global Hunger Index (GHI),IFPRI-GHI,Saudi Arabia,SAU,2010,9.2,,a,10.9005,9.18,5.77
Global Hunger Index (GHI),IFPRI-GHI,Senegal,SEN,2010,23.6,,b,10.9602,9.57,6.93
Global Hunger Index (GHI),IFPRI-GHI,Sierra Leone,SLE,2010,40.8,,d,11.1186,7.87,5.9
Global Hunger Index (GHI),IFPRI-GHI,El Salvador,SLV,2010,12.8,,a,11.1391,9.32,6.69
Global Hunger Index (GHI),IFPRI-GHI,Serbia,SRB,2010,6.7,,a,11.1004,8.88,8.06
Global Hunger Index (GHI),IFPRI-GHI,Suriname,SUR,2010,11,,a,11.1465,9.1,8.37
Global Hunger Index (GHI),IFPRI-GHI,Swaziland,SWZ,2010,26.5,,c,11.5061,8.54,10.03
Global Hunger Index (GHI),IFPRI-GHI,Chad,TCD,2010,50.9,,e,11.61,7.14,9.32
Global Hunger Index (GHI),IFPRI-GHI,Togo,TGO,2010,27.2,,c,11.6,6.67,13.17
Global Hunger Index (GHI),IFPRI-GHI,Thailand,THA,2010,12.7,,a,11.6666,7.11,15.3
Global Hunger Index (GHI),IFPRI-GHI,Turkmenistan,TKM,2010,15,,a,11.9489,8.16,16.78
Global Hunger Index (GHI),IFPRI-GHI,Timor-Leste,TLS,2010,42.3,,d,12.1029,8.42,17.33
Global Hunger Index (GHI),IFPRI-GHI,Trinidad and Tobago,TTO,2010,12.7,,a,11.883,5.5,15.08
Global Hunger Index (GHI),IFPRI-GHI,Tunisia,TUN,2010,7.9,,a,11.8786,4.84,13.19
Global Hunger Index (GHI),IFPRI-GHI,Turkey,TUR,2010,5.4,,a,11.9172,4.11,9.13
Global Hunger Index (GHI),IFPRI-GHI,Tanzania,TZA,2010,34.1,,c,12.088,4.33,10.56
Global Hunger Index (GHI),IFPRI-GHI,Uganda,UGA,2010,30.8,,c,12.1836,10.66,4.16
Global Hunger Index (GHI),IFPRI-GHI,Uruguay,URY,2010,5.4,,a,12.1827,11.56,6.71
Global Hunger Index (GHI),IFPRI-GHI,Uzbekistan,UZB,2010,14.7,,a,12.2042,10.49,6.46
Global Hunger Index (GHI),IFPRI-GHI,Venezuela,VEN,2010,8.4,,a,12.3203,10.14,7.17
Global Hunger Index (GHI),IFPRI-GHI,Vietnam,VNM,2010,18.8,,b,12.3549,9.98,5.63
Global Hunger Index (GHI),IFPRI-GHI,Yemen,YEM,2010,34.5,,c,12.2883,11.12,8.85
Global Hunger Index (GHI),IFPRI-GHI,South Africa,ZAF,2010,16.6,,b,12.4639,8.92,8.15
Global Hunger Index (GHI),IFPRI-GHI,Zambia,ZMB,2010,42.8,,d,12.3092,7.19,9.25
Global Hunger Index (GHI),IFPRI-GHI,Zimbabwe,ZWE,2010,35.8,,d,12.4332,9.18,8.64
Global Hunger Index (GHI),IFPRI-GHI,Bulgaria,BGR,2019,2.5,In order to have numeric data for all observations,a,12.5542,10.7,12.42
Global Hunger Index (GHI),IFPRI-GHI,Bosnia and Herzegovina,BIH,2019,2.5,In order to have numeric data for all observations,a,12.6188,11.2,10.56
Global Hunger Index (GHI),IFPRI-GHI,Belarus,BLR,2019,2.5,In order to have numeric data for all observations,a,12.727,9.46,10.69
Global Hunger Index (GHI),IFPRI-GHI,Chile,CHL,2019,2.5,In order to have numeric data for all observations,a,12.6814,9.59,5.16
Global Hunger Index (GHI),IFPRI-GHI,Costa Rica,CRI,2019,2.5,In order to have numeric data for all observations,a,12.654,8.03,9.64
Global Hunger Index (GHI),IFPRI-GHI,Cuba,CUB,2019,2.5,In order to have numeric data for all observations,a,1.75,6.47,8.67
Global Hunger Index (GHI),IFPRI-GHI,Estonia,EST,2019,2.5,In order to have numeric data for all observations,a,1.75,7.08,6.39
Global Hunger Index (GHI),IFPRI-GHI,Croatia,HRV,2019,2.5,In order to have numeric data for all observations,a,1.75,10.21,4.91
Global Hunger Index (GHI),IFPRI-GHI,Kuwait,KWT,2019,2.5,In order to have numeric data for all observations,a,1.75,12.02,12.03
Global Hunger Index (GHI),IFPRI-GHI,Lithuania,LTU,2019,2.5,In order to have numeric data for all observations,a,1.75,10.15,12.41
Global Hunger Index (GHI),IFPRI-GHI,Latvia,LVA,2019,2.5,In order to have numeric data for all observations,a,1.8068,11.16,14.09
Global Hunger Index (GHI),IFPRI-GHI,Montenegro,MNE,2019,2.5,In order to have numeric data for all observations,a,1.8445,10.81,28.63
Global Hunger Index (GHI),IFPRI-GHI,Romania,ROU,2019,2.5,In order to have numeric data for all observations,a,1.882,11.94,31.04
Global Hunger Index (GHI),IFPRI-GHI,Slovakia,SVK,2019,2.5,In order to have numeric data for all observations,a,2,12.64,33.94
Global Hunger Index (GHI),IFPRI-GHI,Turkey,TUR,2019,2.5,In order to have numeric data for all observations,a,1.9172,14.55,39.31
Global Hunger Index (GHI),IFPRI-GHI,Ukraine,UKR,2019,2.5,In order to have numeric data for all observations,a,1.9688,14.16,42.21
Global Hunger Index (GHI),IFPRI-GHI,Uruguay,URY,2019,2.5,In order to have numeric data for all observations,a,1.9815,15.3,44.28
Global Hunger Index (GHI),IFPRI-GHI,Afghanistan,AFG,2019,33.8,,c,2,17.89,48.22
Global Hunger Index (GHI),IFPRI-GHI,Angola,AGO,2019,29.8,,c,2,18.96,53.38
Global Hunger Index (GHI),IFPRI-GHI,Albania,ALB,2019,7,,a,2,14.19,58.92
Global Hunger Index (GHI),IFPRI-GHI,Argentina,ARG,2019,5.4,,a,2,14.87,63.55
Global Hunger Index (GHI),IFPRI-GHI,Armenia,ARM,2019,7.8,,a,2,16.1,58.1
Global Hunger Index (GHI),IFPRI-GHI,Azerbaijan,AZE,2019,7.4,,a,2,14.73,53.17
Global Hunger Index (GHI),IFPRI-GHI,Benin,BEN,2019,24,,b,2,15.39,47.54
Global Hunger Index (GHI),IFPRI-GHI,Burkina Faso,BFA,2019,25.8,,c,2,13.75,52.54
Global Hunger Index (GHI),IFPRI-GHI,Bangladesh,BGD,2019,25.8,,c,2,,48.74
Global Hunger Index (GHI),IFPRI-GHI,Bolivia,BOL,2019,15.4,,b,2,10.1,60.94
Global Hunger Index (GHI),IFPRI-GHI,Brazil,BRA,2019,5.3,,a,2,9.03,60.17
Global Hunger Index (GHI),IFPRI-GHI,Botswana,BWA,2019,23.6,,b,2,10.79,56.62
Global Hunger Index (GHI),IFPRI-GHI,Central African Republic,CAF,2019,53.6,,e,2,10.47,56.76
Global Hunger Index (GHI),IFPRI-GHI,China,CHN,2019,6.5,,a,2,9.24,49.87
Global Hunger Index (GHI),IFPRI-GHI,Ivory Coast,CIV,2019,24.9,,b,2,7.89,50.73
Global Hunger Index (GHI),IFPRI-GHI,Cameroon,CMR,2019,22.6,,b,2,8.4,47.51
Global Hunger Index (GHI),IFPRI-GHI,Congo,COG,2019,31,,c,2,7.9,49.15
Global Hunger Index (GHI),IFPRI-GHI,Colombia,COL,2019,6.7,,a,6.3067,7.77,50.2
Global Hunger Index (GHI),IFPRI-GHI,Djibouti,DJI,2019,30.9,,c,6.1169,9.73,51.98
Global Hunger Index (GHI),IFPRI-GHI,Dominican Republic,DOM,2019,9.2,,a,5.5037,9.92,53.04
Global Hunger Index (GHI),IFPRI-GHI,Algeria,DZA,2019,10.3,,a,5.3247,11.04,54.53
Global Hunger Index (GHI),IFPRI-GHI,Ecuador,ECU,2019,11.3,,a,2,11.19,55.25
Global Hunger Index (GHI),IFPRI-GHI,Egypt,EGY,2019,14.6,,a,5.5161,11.37,55.82
Global Hunger Index (GHI),IFPRI-GHI,Ethiopia,ETH,2019,28.9,,c,5.3165,10.77,57.05
Global Hunger Index (GHI),IFPRI-GHI,Fiji,FJI,2019,8.9,,a,5.5398,,57.64
Global Hunger Index (GHI),IFPRI-GHI,Gabon,GAB,2019,15.8,,b,5.5287,10.59,56.46
Global Hunger Index (GHI),IFPRI-GHI,Georgia,GEO,2019,9.2,,a,5.549,12.42,58.82
Global Hunger Index (GHI),IFPRI-GHI,Ghana,GHA,2019,14,,a,5.3086,8.68,54.55
Global Hunger Index (GHI),IFPRI-GHI,Guinea,GIN,2019,27.4,,c,2,7.14,54.99
Global Hunger Index (GHI),IFPRI-GHI,Gambia,GMB,2019,21.8,,b,5.3409,6.41,48.31
Global Hunger Index (GHI),IFPRI-GHI,Guinea-Bissau,GNB,2019,29.6,,c,5.3261,7.47,54.1
Global Hunger Index (GHI),IFPRI-GHI,Guatemala,GTM,2019,20.6,,b,5.3191,83.45,2.05
Global Hunger Index (GHI),IFPRI-GHI,Guyana,GUY,2019,12.6,,a,5.3608,86.1,2.39
Global Hunger Index (GHI),IFPRI-GHI,Honduras,HND,2019,12.9,,a,5.3086,86.62,2.86
Global Hunger Index (GHI),IFPRI-GHI,Haiti,HTI,2019,34.7,,c,5.5707,65.32,3.88
Global Hunger Index (GHI),IFPRI-GHI,Indonesia,IDN,2019,20.1,,b,5.5758,66.96,
Global Hunger Index (GHI),IFPRI-GHI,India,IND,2019,30.3,,c,2,76.7,5.41
Global Hunger Index (GHI),IFPRI-GHI,Iran,IRN,2019,7.9,,a,5.8235,79.57,5.49
Global Hunger Index (GHI),IFPRI-GHI,Iraq,IRQ,2019,18.7,,b,5.7803,83.97,5.95
Global Hunger Index (GHI),IFPRI-GHI,Jamaica,JAM,2019,8.2,,a,5.7701,89.57,6.19
Global Hunger Index (GHI),IFPRI-GHI,Jordan,JOR,2019,10.5,,a,5.8057,81.57,7.8
Global Hunger Index (GHI),IFPRI-GHI,Kazakhstan,KAZ,2019,5.5,,a,5.7955,61.83,8.7
Global Hunger Index (GHI),IFPRI-GHI,Kenya,KEN,2019,25.2,,c,5.7778,59.92,8.26
Global Hunger Index (GHI),IFPRI-GHI,Kyrgyzstan,KGZ,2019,8.8,,a,5.7778,63.95,8.2
Global Hunger Index (GHI),IFPRI-GHI,Cambodia,KHM,2019,22.8,,b,5.7065,72.41,11.01
Global Hunger Index (GHI),IFPRI-GHI,Lao,LAO,2019,25.7,,c,2,83.34,10.65
Global Hunger Index (GHI),IFPRI-GHI,Lebanon,LBN,2019,11.6,,a,5.5882,85.99,9.74
Global Hunger Index (GHI),IFPRI-GHI,Liberia,LBR,2019,34.9,,c,5.5556,85.86,9.17
Global Hunger Index (GHI),IFPRI-GHI,Sri Lanka,LKA,2019,17.1,,b,5.5556,89.18,9.65
Global Hunger Index (GHI),IFPRI-GHI,Lesotho,LSO,2019,23.2,,b,5.5263,83.83,10.77
Global Hunger Index (GHI),IFPRI-GHI,Morocco,MAR,2019,9.4,,a,5.5263,85.04,11.2
Global Hunger Index (GHI),IFPRI-GHI,Madagascar,MDG,2019,41.5,,d,5.7895,84.77,11.01
Global Hunger Index (GHI),IFPRI-GHI,Mexico,MEX,2019,6.2,,a,5.7895,70.05,11.8
Global Hunger Index (GHI),IFPRI-GHI,Macedonia,MKD,2019,5.6,,a,5.5,67.08,12.18
Global Hunger Index (GHI),IFPRI-GHI,Mali,MLI,2019,24.1,,b,5.8,72.44,11.86
Global Hunger Index (GHI),IFPRI-GHI,Myanmar,MMR,2019,19.8,,b,5.8,,12.08
Global Hunger Index (GHI),IFPRI-GHI,Mongolia,MNG,2019,9.7,,a,5.2727,72.09,12.86
Global Hunger Index (GHI),IFPRI-GHI,Mozambique,MOZ,2019,28.8,,c,5.4545,71.96,14.5
Global Hunger Index (GHI),IFPRI-GHI,Mauritania,MRT,2019,26.7,,c,5,67.48,12.34
Global Hunger Index (GHI),IFPRI-GHI,Mauritius,MUS,2019,9.6,,a,4.8,65.9,10.82
Global Hunger Index (GHI),IFPRI-GHI,Malawi,MWI,2019,23,,b,5,64.22,11.35
Global Hunger Index (GHI),IFPRI-GHI,Malaysia,MYS,2019,13.1,,a,5.2,66.07,12.46
